[11:54:09] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[11:54:11] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[11:54:11] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[11:54:11] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[11:54:11] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[11:54:12] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[11:54:12] [ServerMain/INFO]: Reloading ResourceManager: Default
[11:54:14] [Worker-Main-10/INFO]: Loaded 7 recipes
[11:54:15] [Worker-Main-10/INFO]: Loaded 1141 advancements
[11:54:22] [Server thread/INFO]: Starting minecraft server version 1.18.1
[11:54:22] [Server thread/INFO]: Loading properties
[11:54:22] [Server thread/INFO]: Default game type: SURVIVAL
[11:54:22] [Server thread/INFO]: Generating keypair
[11:54:22] [Server thread/INFO]: Starting Minecraft server on *:25565
[11:54:22] [Server thread/INFO]: Using epoll channel type
[11:54:23] [Server thread/INFO]: Preparing level "world"
[11:54:42] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[11:54:46] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[11:54:46] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[11:54:46] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[11:54:46] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[11:54:46] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[11:54:46] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[11:54:46] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[11:54:46] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[11:54:46] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[11:54:47] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[11:54:47] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[11:54:48] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[11:54:48] [Worker-Main-12/INFO]: Preparing spawn area: 0%
[11:54:49] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[11:54:49] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[11:54:50] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[11:54:50] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[11:54:51] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[11:54:51] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[11:54:52] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[11:54:52] [Worker-Main-8/INFO]: Preparing spawn area: 1%
[11:54:53] [Worker-Main-14/INFO]: Preparing spawn area: 1%
[11:54:53] [Worker-Main-13/INFO]: Preparing spawn area: 1%
[11:54:54] [Worker-Main-8/INFO]: Preparing spawn area: 1%
[11:54:54] [Worker-Main-12/INFO]: Preparing spawn area: 1%
[11:54:55] [Worker-Main-13/INFO]: Preparing spawn area: 1%
[11:54:55] [Worker-Main-14/INFO]: Preparing spawn area: 2%
[11:54:56] [Worker-Main-12/INFO]: Preparing spawn area: 2%
[11:54:56] [Worker-Main-12/INFO]: Preparing spawn area: 2%
[11:54:57] [Worker-Main-8/INFO]: Preparing spawn area: 3%
[11:54:57] [Worker-Main-8/INFO]: Preparing spawn area: 3%
[11:54:58] [Worker-Main-14/INFO]: Preparing spawn area: 3%
[11:54:58] [Worker-Main-10/INFO]: Preparing spawn area: 3%
[11:54:59] [Worker-Main-11/INFO]: Preparing spawn area: 3%
[11:55:00] [Worker-Main-14/INFO]: Preparing spawn area: 3%
[11:55:00] [Worker-Main-11/INFO]: Preparing spawn area: 4%
[11:55:00] [Worker-Main-13/INFO]: Preparing spawn area: 4%
[11:55:01] [Worker-Main-11/INFO]: Preparing spawn area: 4%
[11:55:01] [Worker-Main-14/INFO]: Preparing spawn area: 4%
[11:55:02] [Worker-Main-14/INFO]: Preparing spawn area: 4%
[11:55:02] [Worker-Main-10/INFO]: Preparing spawn area: 4%
[11:55:03] [Worker-Main-13/INFO]: Preparing spawn area: 4%
[11:55:03] [Worker-Main-13/INFO]: Preparing spawn area: 6%
[11:55:04] [Worker-Main-14/INFO]: Preparing spawn area: 6%
[11:55:04] [Worker-Main-14/INFO]: Preparing spawn area: 7%
[11:55:05] [Worker-Main-12/INFO]: Preparing spawn area: 7%
[11:55:05] [Worker-Main-8/INFO]: Preparing spawn area: 7%
